INFO  - 2013-11-22 01:20:09.486; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-11-22 01:20:09.514; org.apache.solr.core.SolrResourceLoader; No /solr/home in JNDI
INFO  - 2013-11-22 01:20:09.515; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /opt/solr/
INFO  - 2013-11-22 01:20:09.545; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /opt/solr/solr.xml
INFO  - 2013-11-22 01:20:09.548; org.apache.solr.core.CoreContainer; New CoreContainer 9199266
INFO  - 2013-11-22 01:20:09.553; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/opt/solr/'
INFO  - 2013-11-22 01:20:09.553; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/'
INFO  - 2013-11-22 01:20:09.964; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-11-22 01:20:09.964; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-11-22 01:20:09.964; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-11-22 01:20:09.965; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-11-22 01:20:09.965; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-11-22 01:20:09.966; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-11-22 01:20:09.966; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-11-22 01:20:09.966; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-11-22 01:20:09.966; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-11-22 01:20:09.981; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-11-22 01:20:10.218; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-11-22 01:20:10.248; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /opt/solr/collection1
INFO  - 2013-11-22 01:20:10.249; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/collection1/'
INFO  - 2013-11-22 01:20:10.253; org.apache.solr.core.CoreContainer; Creating SolrCore 'blacklight-core' using instanceDir: /opt/solr/blacklight-core
INFO  - 2013-11-22 01:20:10.254; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/blacklight-core/'
