INFO  - 2013-11-22 01:40:47.644; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-11-22 01:40:47.670; org.apache.solr.core.SolrResourceLoader; No /solr/home in JNDI
INFO  - 2013-11-22 01:40:47.670; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /opt/solr/
INFO  - 2013-11-22 01:40:47.694; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /opt/solr/solr.xml
INFO  - 2013-11-22 01:40:47.697; org.apache.solr.core.CoreContainer; New CoreContainer 9199266
INFO  - 2013-11-22 01:40:47.703; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: '/opt/solr/'
INFO  - 2013-11-22 01:40:47.703; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/'
INFO  - 2013-11-22 01:40:48.064; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-11-22 01:40:48.065; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-11-22 01:40:48.065; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-11-22 01:40:48.065; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-11-22 01:40:48.065; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-11-22 01:40:48.066; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-11-22 01:40:48.066; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-11-22 01:40:48.066; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-11-22 01:40:48.066; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-11-22 01:40:48.079; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-11-22 01:40:48.261; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-11-22 01:40:48.289; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /opt/solr/collection1
INFO  - 2013-11-22 01:40:48.303; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/collection1/'
INFO  - 2013-11-22 01:40:48.290; org.apache.solr.core.CoreContainer; Creating SolrCore 'blacklight-core' using instanceDir: /opt/solr/blacklight-core
INFO  - 2013-11-22 01:40:48.309; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr/blacklight-core/'
INFO  - 2013-11-22 01:40:48.309; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/lib/solr-langid-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:40:48.310; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/lib/solr-clustering-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:40:48.310; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/lib/solr-velocity-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:40:48.310; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/lib/solr-analysis-extras-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:40:48.413; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-11-22 01:40:48.413; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/lib/solr-langid-4.3.1.jar' to classloader
