"category","description","title","topic","prod_type","url","image","id","img_thumb","sale_price","price","uniq_id"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","INDIANA,'LOVE'' ,LOUISIANAAN ORIGINAL SILK SCREEN,24.1/2 X 33.1/2 , IN MINT CONDITION NEVER WAS FRAMED{HARD TO FIND IN THIS CONDITION AND LOWER PRICE ANY WHERE} PUBLISHED BY EDITION DOMBERGER KG STUTGART. [C] ROBERT INDIANA 1972, ONE OF THE MOST POPULAR IMAGES OF THE 70'S AND 80'S.as an art dealer i bring you this poster,THAT CAME DIRECTLY FROM THE PUBLISHER, in mint condition from my old stock, our motto is: WE SELL ONLY AUTHENTICATED ART and all pieces come with certificates of authenticity and guarantee. GOOD LUCK. ----------------
;","INDIANA LOVE LUISIANA  ORIGINAL SERIGRAPH PRINT 1972","Robert Indiana","poster","http://igalcalderpicassowarhol.com/idiana.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_30420432",2,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_30465776",,600,"INDI2LUIS"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","STRAIT FROM THE DRAW.NO FAULT WHAT SO EVER. IN PRISTINE CONDITION.NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH.# 13. APPROX.24X36 ON HEAVY ART PAPER AND PLATE SIGNED.don't miss.  gallery price. over $200 ,WITH CERTIFICATE OF AUTHENTICITY.","NAGLE COMMEMORATIVE #13","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/poster.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_31481045",3,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_31701288",150,200,"NAG13"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","
             NASTASSJA KINSKIAND THE SERPENT,24.1/2 X 36, PHOTO POSTER. BY  RICHARD AVEDON VERY RARE ..[C] 1981..[ I FOUND FEW OF THEM, WERE  HIDING FOR MORE THEN 20 YEARS THIS IS THE FIRST EDITION ....  the well known photographer, of famous people among them j, lenon,dovima,kinsky, l hotton,and   OF MARILYN MONROE  DEPICTING OTHER GODDESSES OF THE SCREEN; CALLED MARILYN AS;,, 1]  JEAN HARLOW,,,2] THEDA BARA,... 3] CLAIR Baw,,,,4] LILIAN RUSSELL,[SOLD OUT,AS A SET}  .. as an art dealer I bring you this posters, THAT CAME DIRECTLY FROM THE PUBLISHER, out of print and hard to find in mint condition from my old stock- The print or poster has it's own description representation to my best knowledge,And this is a general MOTTO; to all the POSTERS l offer HERE.
 I am a retired art dealer a publisher and distributor of art prints and posters for 35 years, and well known in the ART POSTER BUSINESS MOSTLY, I bring you these prints and posters ,""lithograph"" or ""serigraph"" or ""photo offset"" , some are plate signed, many of which are out of print and hard to find, in the conditions as describe.","AVEDON  NASTASSJA KINSKI AND THE SERPENT","Richard Avedon","poster","http://igalcalderpicassowarhol.com/avnakiandse.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_33030559",4,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_33209807",,325,"KINSKI1"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","NAGEL, WOMEN IN BLACK OPEN BACK ORIGINAL, SERIGRAPH FOR PLAYBOY BY PLAYBOY, ONE OF THE LARGEST SERIGRAPH MADE,OF NAGEL IF NOT THE LARGEST, 30 X 49. *[NOT TO CONFUSE WITH A LITHOGRAPH not serigraph IN MUCH SMALLER SIZE 36x24 YOU SEE ON EBAY  AND THE INTERNET] *PRINTED ON HEAVY ART PAPER, LIMITED EDITION text on the print :""PLAYBOY'S PATRICK NAGEL COLLECTION 1992 special edition limited Chicago,Ilinois made in USA"" IN MINT CONDITION..
 YOU RARELY SEE ON THE INTERNET [not the smaller repro], WAS FOUND BY A DEALER OF NAGEL PRINTS IN A WAREHOUSE. HE NEVER SAW IT BEFORE, TOGETHER WITH TWO OTHER SERIGRAPHS WHICH  I SOLD OUT {.THIS 3 SERIGRAPHS MUST HAVE BEEN A GIVE AWAY BY PLAYBOY.
This is for the SERIOUS COLLECTORS, .","PATRICK NAGEL WOMAN BLACK OPEN BACK","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/panawobaop.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_39180557",5,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_39223139",175,250,"NAGEL2BACK"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH # 8,""yellow swather"",PATRICK NAGEL PRINT ORIGINAL SERIGRAPH LIMITED EDITION SIGNED IN THE PLATE. 36 X 24 Published by Mirage DUMAS.on heavy art paper,. a rare find , IT CAME FROM MY OLD STOCK, KEPT IN MINT CONDITION, IN THE PLASTIC SLEEVE..
WHAT YOU SEE ! IS THE AUTHENTIC PRINT. *--THIS IS NOT A CHEAP OFFSET REPRODUCTION !!!. Our motto is: WE SELL ONLY AUTHENTIC ART .","NEGEL ORIGINAL SERIGRAPH # 8,""YELLOW SWETHERE""","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/neorse8sw.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_41876153",6,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_41939672",150,200,"NAG8YELLOW"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH # 15 PATRICK NAGEL PRINT ORIGINAL SERIGRAPH LIMITED EDITION SIGNED IN THE PLATE. 36 X 24 Published by Mirage DUMAS.on heavy art paper,. a rare find , IT CAME FROM MY OLD STOCK, KEPT IN MINT CONDITION, IN THE PLASTIC SLEEVE..
WHAT YOU SEE ! IS THE AUTHENTIC PRINT. *--THIS IS NOT A CHEAP OFFSET REPRODUCTION !!!. Our motto is: WE SELL ONLY AUTHENTIC ART .","NEGEL ORIGINAL SERIGRAPH # 15,","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/neorse15.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_43478838",7,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_43614283",150,200,"NAGEL15"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","VERY RARE VINTAGE POSTER  1973MATISSE DANCERS.23 X 36 INCH ON HEAVY GLOSSY PAPERIN MINT CONDITIONPUBLISHED IN 1973 BY THE.NATIONAL GALLERY OF ART IN WASHINGTON.""IMPRESSIONIST AND POST IMPRESSIONIST PAINTINGFROM THE USSR.NATIONAL GALLERY OF ART WASHINGTON APRIL 1-29 1973""THIS POSTER WAS FOUND IN MY OLD STOCK HIDING FOR 35 YEARS.JUST DISCOVER.","HENRY MATISSE DANCER  NATIONAL GALLERY WASHINGTON 1973 POSTER","Henri Matisse","poster","http://igalcalderpicassowarhol.com/hemadanagawa.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_45505371",8,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_45584647",,95,"MATDANCER"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","*PRICE REDUCED FOR SPECIAL SALEINDIANA,'LOVE''AN ORIGINAL SILK SCREEN,PLATE SIGNEDIN MINT CONDITION NEVER WAS FRAMED{HARD TO FIND IN THIS CONDITION AND LOWER PRICE ANY WHERE }ROBERT INDIANA LOVE ONE OF THE MOST POPULAR IMAGES OF THE 70'S AND 80'S.as an art dealer i bring you this poster,THAT CAME DIRECTLY FROM THE PUBLISHER,in mint condition from my old stock,our motto is: WE SELL ONLY AUTHENTICATED ART and all pieces come with certificates of authenticity and guarantee. GOOD LUCK. ----------------
;","INDIANA LOVE GREEN ORIGINAL SILK SCREEN,1997 PRINT","Robert Indiana","poster","http://igalcalderpicassowarhol.com/indiana.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_49052546",9,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_49148457",,450,"IDIA1GREEN"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH # 12 PATRICK NAGEL PRINT ORIGINAL SERIGRAPH LIMITED EDITION SIGNED IN THE PLATE. 36 X 24 Published by Mirage DUMAS.on heavy art paper,. a rare find , IT CAME FROM MY OLD STOCK, KEPT IN MINT CONDITION, IN THE PLASTIC SLEEVE.. WHAT YOU SEE ! IS THE AUTHENTIC PRINT. *--THIS IS NOT A CHEAP OFFSET REPRODUCTION !!!. Our motto is: WE SELL ONLY AUTHENTIC ART .
.","NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH # 12","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/nagel1.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_50433741",10,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_50478344",150,200,"newitem4"
"INDIANA, IGAL M ATELIER, CALDER  AVEDON KINSKI ,NAGEL, RAZZIA ,COTY, BEN SHAHN,  ERTE ","NAGEL'S COMMEMORATIVE ORIGINAL SERIGRAPH # 11,PATRICK NAGEL PRINT ORIGINAL SERIGRAPH LIMITED EDITION SIGNED IN THE PLATE. 36 X 24 Published by Mirage DUMAS.on heavy art paper,. a rare find , IT CAME FROM MY OLD STOCK, KEPT IN MINT CONDITION, IN THE PLASTIC SLEEVE.. WHAT YOU SEE ! IS THE AUTHENTIC PRINT. *--THIS IS NOT A CHEAP OFFSET REPRODUCTION !!!. Our motto is: WE SELL ONLY AUTHENTIC ART .
.","NAGEL COMMEMORATIVE #11 SERIGRAPH MINT","Patrick Nagel","poster","http://igalcalderpicassowarhol.com/naco11semi.html","http://ep.yimg.com/ca/I/yhst-133339157741621_2267_51264667",11,"http://ep.yimg.com/ca/I/yhst-133339157741621_2267_51313756",150,200,"NEG11C"
